interval,variable,n,median
1980-1984,SECCHI_DEPTH,11,1.1
1995-1999,SECCHI_DEPTH,82,2.1333333333333333
2000-2004,SECCHI_DEPTH,227,1.675
2005-2009,SECCHI_DEPTH,291,1.7333333333333334
2010-2014,SECCHI_DEPTH,381,1.5666666666666667
2015-2019,SECCHI_DEPTH,424,1.4333333333333333
2020-2023,SECCHI_DEPTH,324,1.6366666666666667
1990-1994,CHLa,16,3.6383333333333336
1995-1999,CHLa,38,4.463749999999999
2000-2004,CHLa,262,6.464166666666666
2005-2009,CHLa,305,6.755
2010-2014,CHLa,391,6.8919999999999995
2015-2019,CHLa,427,6.597777777777778
2020-2023,CHLa,332,7.5441666666666665
2000-2004,NITROGEN_TOTAL,94,0.615
2005-2009,NITROGEN_TOTAL,295,0.5533333333333333
2010-2014,NITROGEN_TOTAL,379,0.5377777777777778
2015-2019,NITROGEN_TOTAL,421,0.49333333333333335
2020-2023,NITROGEN_TOTAL,329,0.458
1975-1979,PHOSPHORUS_TOTAL,4,0.11666666666666667
1980-1984,PHOSPHORUS_TOTAL,81,0.027777777777777776
1985-1989,PHOSPHORUS_TOTAL,100,0.058888888888888886
1990-1994,PHOSPHORUS_TOTAL,40,0.05173611111111111
1995-1999,PHOSPHORUS_TOTAL,133,0.02222222222222222
2000-2004,PHOSPHORUS_TOTAL,268,0.021214285714285713
2005-2009,PHOSPHORUS_TOTAL,314,0.025
2010-2014,PHOSPHORUS_TOTAL,394,0.024083333333333335
2015-2019,PHOSPHORUS_TOTAL,429,0.023333333333333334
2020-2023,PHOSPHORUS_TOTAL,332,0.018333333333333333
1972-1974,TSS,5,5.2
1975-1979,TSS,11,3.6
1980-1984,TSS,67,7
1985-1989,TSS,101,5.777777777777778
1990-1994,TSS,46,5.527777777777778
1995-1999,TSS,127,5
2000-2004,TSS,102,4.141666666666667
2005-2009,TSS,27,10
2010-2014,TSS,14,9.166666666666666
2015-2019,TSS,5,5.333333333333333
2020-2023,TSS,13,2.6666666666666665
1972-1974,DIN,87,0.135
1975-1979,DIN,58,0.16
1980-1984,DIN,69,0.40555555555555556
1985-1989,DIN,102,0.4058333333333334
1990-1994,DIN,39,0.35111111111111115
1995-1999,DIN,127,0.29555555555555557
2000-2004,DIN,94,0.12
2005-2009,DIN,10,0.8633333333333333
2010-2014,DIN,6,0.3333333333333333
2015-2019,DIN,2,0.4691666666666667
2020-2023,DIN,11,0.07666666666666666
